_id;author_details;title;isbn;description;genre
95;Foucault, Michel|Rossi, Roberto;Questo Non È Una Pipa;9788877101044;"Suggestiva e amabilmente bizzarra, irrazionale e un po' accademica, tutto sommato facile e tradizionale: così è apparsa il più sovente l'opera di Magritte a gran parte del pubblico e della critica. Per dissipare questi equivoci occorreva un estimatore d'eccezione come Michel Foucault, che in questo studio penetrante e articolato mette in luce con puntualità e chiarezza tutte le implicazioni figurative e filosofiche di una ricerca artistica tra le più importanti del secolo. Dopo avere mostrato le forti analogie che legano l'opera magrittiana a quelle, solo in apparenza lontane e più radicali, di Klee e di Kandinskij, l'autore di ""Le parole e le cose"" ci rivela la rottura decisiva compiuta dal pittore belga nei confronti di una tradizione plurisecolare. Il principio cardinale della pittura classica stabiliva un legame indissolubile tra verosimiglianza e rappresentazione, tra segno e cosa, secondo il dogma assoluto che "" dipingere è affermare ""; tutta l'opera di Magritte - di cui ""Questo non è una pipa"", qui analizzato in dettaglio, è un esempio tra i più probanti - costituisce un ribaltamento di quel principio, una sorta di liberazione della pittura dalla dittatura del verosimile e di una supposta realtà oggettiva di cui l'opera sarebbe supina imitazione.";Art / Techniques / Painting
96;Lenin, ;Che Fare?;9788886176507;;Political Science / General
97;Marx, Karl;Il Capitale Vol. 1;9788835957430;"""Il capitale"", summa di un pensiero profondamente innovativo, gigantesca costruzione in cui si fondono analisi economica, concezione filosofica e visione storiografica, è stato però conosciuto più attraverso la mediazione di compendi e commenti talvolta infedeli e semplificatori che non attraverso il contatto diretto con le pagine di Marx. Questa edizione, che sfronda il primo libro del Capitale di alcuni dei passaggi maggiormente legati alle vicende della sua epoca o al dibattito specialistico, mette in rilievo i tratti essenziali della prima analisi sistematica della società moderna, e insieme ci permette di scoprire un Marx scrittore sorprendentemente accessibile e brillante.";Political Science / Public Policy / Economic Policy
98;Engels, Friedrich;Antidühring. La Scienza Sovvertita Dal Signor Dühring;9788886176415;Nelle battaglie per l’affermazione del socialismo come scienza, l’Antidühring fu l’arma contro l’eclettismo ed ebbe un ruolo essenziale nella formazione di generazioni di marxisti. Un’accurata esposizione della scienza del proletariato, una completa ed approfondita presentazione della concezione dialettica, un’organica trattazione della concezione materialistica della storia e della politica ne fanno ancora – e più che mai – oggi uno strumento necessario per la comprensione di una realtà in cui infiniti nessi legano uomini, prodotti, settori economici, istituzioni politiche in ogni angolo del globo. Uno strumento essenziale per comprendere la dinamica di una realtà internazionale in cui l’emergere di nuovi attori politici e di inedite potenze imperialistiche, dai giganti dell’Asia all’Europa potenza, prefigura nuove contese e nuove tempeste.<br><br> Arrigo Cervetto: La scoperta della politica;Political Science / General
99;Paladini, Arrigo;Via Tasso: Carcere Nazista;;;Guerra, Resistenza e Storia Del PCI
100;Stuart, W.J.|Stuart, W. J.;Forbidden Planet;9780839824091;;
101;Cafiero, Carlo. Introduz. di Aurelio Chessa.|Cafiero, Carlo;Rivoluzione, Anarchia E Comunismo.;;;Politica
102;Gramsci, Antonio;Quaderni Del Carcere;9788806158491;Che nonostante il progressivo deterioramento del suo fisico, ma non del suo spirito, Gramsci abbia proseguito fino alla fine la sua lotta per la libertà è forse l'evento più rilevante nel Novecento intellettuale in Italia.<br><br>Dalla prefazione di Luciano Canfora;
103;Spriano, Paolo|Spriano, Paolo et al.;Storia Del Partito Comunista Italiano Vol. 1: Da Bordiga a Gramsci;9788806080297;Questa di Paolo Spriano è la prima Storia del Partito comunista italiano di impianto scientifico. L'autore ha avuto accesso all'archivio del PCI nonché all'abbondante messe di documenti riservati, sequestrati dalla polizia italiana nel corso di perquisizioni operate nella sede comunista, dal 1921 in poi, e conservati presso l'Archivio Centrale dello Stato. Una parte non meno importante della documentazione inedita viene inoltre dalle relazioni che inviavano a Mosca i rappresentanti in Italia dell'Internazionale comunista, in particolare lo svizzero Jules Humbert-Droz.;Guerra, Resistenza e Storia Del PCI
104;Ballard, J.G.|Ballard, James Graham;Il Paradiso Del Diavolo;8880893629;La dottoressa Rafferty è una veterana delle campagne animaliste. La sua ossessiva crociata per salvare l'albatros, nell'Oceano Pacifico, improvvisamente suscita l'interesse e racccoglie l'appoggio della comunità internazionale quando milioni di telespettatori seguono in diretta la morte del suo pupillo Neil Deopsey, che viene ucciso mentre compie un disperato tentativo di salvare l'albatros. In poco tempo la dottoressa trasforma l'isola deserta in un santuario: un paradiso perduto per Neil, per una squadra stranamente assortita di ecoentusiasti e idealisti e per un campionario sempre maggiore di specie in pericolo di estinzione. Col tempo tutti scopriranno che alcune specie corrono molto più pericolo di altre...;Fiction / General
105;Vettori, Giuseppe;I Canti Popolari Italiani;9788879839549;;Social Science / Sociology / General
106;Brecht, Bertolt|Bonino, Guido Davico|Cases, Cesare|Oneto, Giuseppina|Castellani, Emilio;Poesie;9788806129521;Testo a fronte;Poetry / General
107;Hikmet, Nazim;Poesie;9788881833580;;Poetry / General
108;Cavafy, C.P.|Risi, Nelo|Dalmati, Margherita|Kavafis, Konstantinos;Settantacinque Poesie;9788806131470;Le <em>Cinquantacinque poesie</em> di Kavafis scelte e tradotte da Nelo Risi e Margherita Dalmàti nel 1968 sono state, in Italia, uno dei libri più amati dagli ultimi venticinque anni e hanno sicuramente contribuito in maniera decisiva alla conoscenza di un poeta fra i massimi del nostro secolo. Gli stessi curatori dell'ormai classico volumetto hanno ora aggiornato la vecchia edizione traducendo altri venti testi, scelti in parte dall'affascinante repertorio erotico dell'autore, in parte da quello delle poesie storiche. Due generi poetici che costituiscono l'espressione più originale di Kaviafis il quale - come scrive Risi - continua ad essere poeta vicinissimo a noi proprio per «il senso acuto della Storia, il sottile erotismo sentito come ricordo, una ricca articolazione narrativa e la materialità del vissuto (con tutto il suo eccesso di peso) ridotto a pura trasparenza».;Poetry / General
109;Brecht, Bertolt|Brecht, Bertolt.;L'abicí Della Guerra;9788806163471;This volume of photographs and poems was originally published by Libris in hardback in 1998 to positive reviews. It contains 85 black-and-white press photographs from World War II which Brecht himself cut out of newspapers and magazines. They date from his exile in Sweden and Finland in 1940 and 1941, but were mainly collected during his exile in the USA, from July 1941 till the end of the war. To each picture, Brecht added a four-line poem - poignant, angry, personal or political, or a combination of these. This book therefore constitutes an intriguing record of World War II from the viewpoint of one of the 20th-century's greatest and most politically-engaged poets.;Poetry / General
110;London, Jack;Il Popolo Dell'abisso;9788804298168;;Fiction / Classics
111;Giap, Vo Nguyen|Canfora, Luciano|De Lorenzis, Tommaso;Masse Armate Ed Esercito Regolare;9788888249407;L’edizione critica del compendio teorico di uno dei più grandi strateghi di tutti i tempi, il libro-culto del “Napoleone rosso”: il generale vietnamita Giap.<br><br>«Un uomo leggendario, un audace stratega, un logico, un organizzatore instancabile, Giap ha combattuto per più di trent’anni, plasmando un gruppo di guerriglieri disorganizzati in uno degli eserciti più efficienti al mondo»<br>Stanley Karnow, New York Times Magazine<br><br>Võ Nguyên Giáp è l’imbattuto stratega che ha rivoluzionato l’arte della guerra e la scienza militare i cui capolavori d’ingegno bellico lo hanno trasformato in una vera e propria leggenda. Maestro della guerriglia e della tattica del “mordi e fuggi”, seppe supplire con geniali intuizioni alla sproporzione delle forze in campo, sconfiggendo eserciti più numerosi e meglio armati. Vincitore dei giapponesi nel secondo conflitto mondiale e dei colonialisti francesi umiliati nella battaglia di Dien Bien Phu (1954), Giap ottiene una lunga serie di successi contro gli invasori statunitensi che porteranno nel 1975 alla clamorosa sconfitta del gigante nordamericano. In occasione del centesimo compleanno del Generale, Sandro Teti Editore ripubblica Masse armate ed esercito regolare, summa concettuale del maggiore interprete della «guerra di popolo». Corredata dagli apparati di Luciano Canfora e Tommaso De Lorenzis, questa nuova edizione ripropone un classico del pensiero militare, all’incrocio tra rigore filologico, aggiornamento critico e divulgazione pop. Nel rivolgersi a vecchi e nuovi lettori, il testo diventa l’occasione per un ragionamento a tutto campo sui significati metaforici della figura del Guerrigliero e sulle icone dell’epos moderno nella società della comunicazione di massa.<br><br>Võ Nguyên Giáp (An Ka, 25 agosto 1911) è stato capo militare del Vietminh di Ho Chi Minh e dell’Esercito Popolare Vietnamita. Vincitore delle forze armate giapponesi, francesi, americane, ha combattuto nel corso di un trentennio per l’indipendenza del Vietnam. Passato alla storia per la presa di Dien Bien Phu e per l’offensiva del Tet, ha ricoperto – dopo la conquista di Saigon – le cariche di Ministro della Difesa e di Vice Primo Ministro della Repubblica Democratica del Vietnam. Ritiratosi dalla politica attiva nel 1982, di recente è tornato alla ribalta della scena pubblica, schierandosi contro un massiccio progetto di estrazione mineraria negli altopiani centrali del Vietnam. Giap ha ripercorso le sue esperienze di capo militare in diverse opere, tra cui ricordiamo Grande vittoria, grande operazione (1947), Dien Bien Phu (1955) e (1970).;Guerra, Resistenza e Storia Del PCI
112;Packard, Vance|Fruttero, Carlo;I Persuasori Occulti;9788806173449;Quando nel 1957 Vance Packard, quarantatreenne insegnante di giornalismo all'Università di New York, rivelò al grande pubblico americano e a quello di tutto il mondo che l'alleanza sempre più stretta tra analisi e pubblicità minacciava subdolamente, ma scientificamente, la libertà d'opinione su qualsiasi argomento, venne arruolato nella schiera dei più grandi allarmisti. <em>I persuasori occulti</em> è ancora oggi, a tanti anni di distanza, un testo urticante con cui fare i conti in un primo bilancio. Quante previsioni si sono avverate? Perché sì? Perché no?<br>All'edizione originale lo stesso Packard ha aggiunto l'epilogo <em>I persuasori occulti rivisitati negli anni ottanta</em>, che aggiorna ulteriormente il suo discorso.;Social Science / Media Studies
113;Montalbán, Manuel Vázquez|Lyria, Hado|Perini, Roberto;Ricette Immorali;9788807812637;"""Non si sa di nessuno che sia riuscito a sedurre con ciò che aveva offerto da mangiare; ma esiste un lungo elenco di coloro che hanno sedotto spiegando quello che si stava per mangiare..."" Manuel Vázquez Montalbán, creatore del detective-gourmet Pepe Carvalho, è qui in veste di autore di un trattato eno-gastronomico-sessuale, che si prefigge di tracciare l'identikit del partner ideale con il quale dividere tavola e letto. Ecco così 62 ricette di alta cucina, tutte assolutamente realizzabili e accompagnate da un breve commento che stabilisce un rapporto di complicità con il lettore nell'atto ""criminoso"" della conquista amorosa.";Fiction / General
114;Marx, Karl|Giorgetti, Giorgio|Togliatti, Palmiro;Il 18 Brumaio Di Luigi Bonaparte;9788835942702;"<em>Le rivoluzioni borghesi, come quelle del secolo decimottavo, passano tempestosamente di successo in successo; i loro effetti drammatici si sorpassano l'un l'altro; gli uomini e le cose sembrano illuminati da fuochi di bengala; l'estasi è lo stato d'animo di ogni giorno. Ma hanno una vita effimera, presto raggiungono il punto culminante: e allora una lunga nausea si impadronisce della società, prima che essa possa rendersi freddamente ragione dei risultati del suo periodo di febbre e di tempesta. Le rivoluzioni proletarie, invece, quelle del secolo decimonono, criticano continuamente se stesse; interrompono a ogni istante il loro proprio corso; ritornano su ciò che già sembrava cosa compiuta per ricominciare daccapo; si fanno beffe in modo spietato e senza riguardi delle mezze misure, delle debolezze e delle miserie dei loro primi tentativi; sembra che abbattano il loro avversario solo perché questo attinga dalla terra nuove forze e si levi di nuovo più formidabile di fronte a esse; si ritraggono continuamente, spaventate dall'infinita immensità dei loro propri scopi, sino a che si crea la situazione in cui è reso impossibile ogni ritorno indietro e le circostanze stesse gridano: Hic Rhodus, hic salta! Qui è la rosa, qui devi ballare!</em>";Biography & Autobiography / Historical
115;Balestrini, Nanni;Elettra. Con Cd Audio;9788887995282;;
116;Balsamini, Luigi;Gli Arditi Del Popolo;;;Guerra, Resistenza e Storia Del PCI
117;Costantini, Romeo;Non C'era Una Volta;;;
118;Paccino, Dario;Sceeemi;;;
119;Mini, Fabio;Soldati;9788806189440;L'apparato di 186668 soldati delle forze armate italiane non serve piú alla difesa della patria. Non c'è un solo soldato a guardare le frontiere e non si sa neppure da chi venga la vera minaccia. Il problema della sicurezza è planetario, per affrontarlo dovremmo integrare le forze almeno in Europa e avere una nostra politica. Lo stesso senso della guerra è cambiato. Si combatte per i cicli produttivi: in tutto il globo e senza fine. Gli eserciti ne escono trasformati. Ai soldati di leva si affiancano i professionisti, ai militari i civili: mercenari o contractors. Un testimone d'eccezione, interno alla macchina militare, ci restituisce il quadro mutato dei nuovi professionisti della sicurezza: che quando cadono commuovono, al piú spaventano, quasi sempre appaiono impotenti.;Guerra, Resistenza e Storia Del PCI
120;Evangelisti, Valerio|VALERIO, EVANGELISTI;Metallo Urlante;9788806167134;In <em>Metallo urlante</em> ogni capitolo è un passo verso un orrore sempre più gelido. Accanto a perverse mutazioni della carne in metallo, sotto il tallone di oppressioni spaventose, negli scenari esotici dove eserciti non più umani si scontrano, una mente sottile e malata tiene le fila del racconto, oltre ogni dimensione di spazio e di tempo: è Nicolas Eymerich, il crudele inquisitore medievale le cui vicende sono raccontate nel ciclo pubblicato da Mondadori.<br>Introduzione perfetta a Eymerich e complemento indispensabile del ciclo, ma anche libro di avventure autonome (tra le quali la prima apparizione del pistolero stregone messicano Pantera, protagonista di <em>Black Flag</em>), <em>Metallo urlante</em> - che rende omaggio nel nome a una celebre rivista francese di fumetti, madre ideale di <em>Alien</em> - è oggi apprezzato da intenditori di ogni genere come uno dei capisaldi della nuova narrativa fantastica. Anche per la innegabile capacità dimostrata da Evangelisti di cogliere nelle patologie del presente, l'incubazione possibile di un futuro di devastante ferocia e di desolante inumanità.;
121;Evangelisti, Valerio;Antracite;9788804533368;Sono trascorsi dieci anni dalla fine della Guerra Civile, e gli Stati Uniti sono preda della cupidigia di potenti gruppi industriali. Pantera, misterioso pistolero-stregone messicano, viene assoldato come sicario da una setta terroristica operante tra i minatori irlandesi della Pennsylvania, e non tarda a rendersi conto che dietro ciò che appare un rudimentale conflitto sociale operano forze che si battono senza esclusione di colpi per la conquista dell'intero paese. Ma dovrà compiere un lungo e tortuoso itinerario prima di capire che a confronto sono due diverse anime dell'America, e che quella che vincerà lascerà la sua impronta sui secoli a venire. Davanti a tutto ciò, anche un pistolero cinico e spietato può rivelarsi agente del bene.;Fiction / Science Fiction / General
122;Silone, Ignazio;Fontamara;9788804319634;"Fontamara fu pubblicato a Zurigo nel 1933. Ambientato in un paesino abruzzese, Fontamara appunto, racconta l'eterno conflitto tra ""cafoni"" e ""cittadini"", reso ancora più drammatico dall'avvento del fascismo. I contadini e i braccianti, rassegnati ormai e quasi assuefatti a subire senza reagire catastrofi e soprusi di ogni genere, abbrutiti dalla miseria e dalla lotta per la sopravvivenza, trovano la forza di ribellarsi quando si rendono conto dell'ultima, ennesima truffa ordita sulla loro pelle, che, per una coincidenza non casuale, corrisponde temporalmente all'entrata in scena del regime fascista. Figura centrale del romanzo è Berardo Viola, che rappresenta l'esigenza di riscattare una vita di silenzio e passività, esigenza che diverrà essenziale e imprescindibile anche per gli altri ""cafoni"" fontamaresi.";Fiction / General
123;Kerouac, Jack|Pivano, Fernanda|de Cristofaro, Magda;Sulla Strada;9788804325819;Dean e Sal (Neil Cassady e Jack Kerouac) percorrono le strade dell'America e del Messico con un ansia di vita e di esperienze. <em>Sulla strada</em> ne registra i viaggi, le rivelazioni e gli incontri. Romanzo dell'amicizia, della ricerca di sè, del desiderio di appartenenza e dell'impossibilità a rinunciare al desiderio e al bisogno di rivolta, il romanzo sembra dare corpo a tutti i grandi miti dell'America.;Fiction / General
124;Butler, C.T.|McHenry, Keith;Food Not Bombs;9788887923469;Book by C.T. Butler;
125;Hašek, Jaroslav|Corduas, Sergio;Racconti;9788804561330;Questo volume raccoglie i racconti di un autore europeo di grande importanza e di singolare livello letterario. Vissuto a Praga tra Otto e Novecento, nello stesso ambiente culturale di Kafka, Hasek è stato un personaggio leggendario e uno scrittore amatissimo, la cui opera ha avuto celebri trasposizioni teatrali (tra cui quella di Brecht del <em>Buon soldato Sc'vejk</em>) e che ha dato forse il meglio di sé nella produzione breve: racconti dai toni irridenti, satirici, talvolta persino feroci. Questa antologia ci permette finalmente di scoprire una personalità letteraria complessa, che senza apparire ha tuttavia lasciato un segno e influenzato la cultura del secolo scorso: così, accanto al nucleo di racconti e novelle all'insegna di uno humour nero, maledetto, graffiante, dai toni pre-dada e pre-surrealisti, assolutamente ceco, anzi praghese, troviamo un umorismo più distaccato ed empatico, un sorriso carico di humanitas che riesce a non essere grottesco né sentimentale, rivelando piuttosto una saggia, per quanto scettica, comprensione dei meccanismi profondi della storia.;Fiction / Short Stories (single author)
126;Orwell, George|Baldini, Gabriele;1984;9788804325734;"Il protagonista del romanzo, Winston Smith, è un membro subalterno del partito, incaricato di ""correggere"" i libri e gli articoli di giornale già pubblicati, cioè modificarli in modo da rendere riscontrabili e veritiere le previsioni fatte dal partito; egli inoltre si occupa di modificare la storia scritta, contribuendo così ad alimentare la fama di infallibilità del Partito stesso. Apparentemente è un tipo malleabile, ma Winston in realtà mal sopporta i condizionamenti del partito e non riesce ad adeguare la propria mente al bispensiero. Accanto a lui agiscono altri due personaggi: Julia, della quale Winston è innamorato (malgrado i divieti del partito) è una giovane che si adatta al partito solo per convenienza, e O'Brien, un importante funzionario nel quale il protagonista vede una figura paterna.<br>Nonostante il partito imponga la castità, Winston e Julia diventano amanti e decidono di collaborare con un'organizzazione clandestina di resistenza. Si confidano quindi con O'Brien, che i due credono ribelle.<br>Arrestati, vengono interrogati proprio da O'Brien, che in realtà è un agente della psicopolizia, il cui fine è far penetrare in Winston, evidentemente refrattario al condizionamento sociopolitico del Socing, la tecnica del Bispensiero attraverso tre fasi: apprendimento, comprensione, accettazione. Il tentativo riuscirà perfettamente, e Winston finirà così allineato al regime.";Fiction / Classics
127;Orwell, George|Monicelli, Giorgio;Omaggio Alla Catalogna;9788804509844;"Uno dei libri più appassionati sulla guerra civile di Spagna. George Orwell, giunto a Barcellona nel dicembre 1936 'con la vaga idea di scrivere articoli per qualche giornale', finì quasi immediatamente con l'arruolarsi nelle file repubblicane: fu al fronte, visse le giornate del maggio 1937 a Barcellona, venne gravemente ferito nell'assedio di Huesca e riuscì a riparare in Francia. Coinvolgente come un romanzo e rigoroso come un saggio, questo libro è la lucida cronaca di una drammatica esperienza; è la prima opera pienamente matura di Orwell, momento cruciale della sua formazione politica e intellettuale: le generiche preferenze dello scrittore per il mondo dei diseredati manifestate nelle prove d'esordio si mutano a questo punto in un più limpido e organico rifiuto del totalitarismo e di quanto vi si accompagna: crudeltà, doppiezza, disinformazione.";History / Europe / Spain & Portugal
128;Hašek, Jaroslav|Corduas, Sergio|Benvenuto, Beppe;Compagno Hašek, Comandante Della Citta? Di Bugul'ma?;9788838917417;Jaroslav Hašek è l'autore della popolarissima epopea tragicomica del Buon soldato Svejk, di cui questo racconto autobiografico, sulla sua esperienza nelle file dell'Armata rossa durante la guerra civile, dove, diventato bolscevico e disertore dal suo esercito, si era arruolato nel 1918, ricalca la vena anarchica e burlesca di ambientare piccole e ridicole vicende di anti-eroi sullo sfondo della grande storia.;Fiction / Classics
129;Zamyatin, Yevgeny|Delfino, Barbara|Zamjátin, Evgenij|Zamjatin, Evgenij Ivanov?c;Noi;9788883912283;“Per annientare il diavolo è permessa, si capisce, qualsiasi alterazione della verità – e così il mio romanzo scritto nove anni prima, nel 1920, è stato presentato come la mia ultima opera. È stata organizzata una persecuzione quale non si è mai avuta nella letteratura sovietica.” Tratte dalla lettera che Evgenij Zamjatin (1884-1937) spedì a Stalin nel 1931 nel tentativo di vedersi commutata in esilio quella “privazione della possibilità di scrivere” che pesava sul suo animo come una “pena di morte”, queste parole sono la testimonianza della dura censura che colpì Noi, l’avveniristico e lungimirante atto d’accusa contro la spietata e progressiva diffusione del taylorismo nella società sovietica e la morsa totalitaria in cui la Russia sarebbe rimasta strangolata sotto il regime di Stalin. Nella città di vetro e di acciaio dello Stato Unico gli individui sono ridotti a numeri e vivono nel rigoroso rispetto dell’autorità del Benefattore, garante assoluto di una felicità “matematicamente” calcolata. Non esistono né vita privata né intimità. Le pareti degli edifici sono trasparenti, e anche il tempo dell’amore è scandito da orari e modalità rigorose. Scritto in forma di diario tenuto dal costruttore di una macchina spaziale, l’Integrale elettrico, che avrebbe il compito di esportare in tutto l’universo “il benefico giogo della ragione”, Noi incarna una delle più sofisticate e lucide anti-utopie della letteratura novecentesca.;Fiction / Science Fiction / General
130;Bradbury, Ray|Monicelli, Giorgio|Bradbury, ;Fahrenheit 451;9788804320258;Montag fa il pompiere in un mondo dove gli incendi non si spengono, si appiccano. Armati di lunghi lanciafiamme, i militi irrompono nelle case dei sovversivi che conservano libri o altra carta stampata e li bruciano: così vuole la legge. Ma Montag non è felice della sua esistenza alienata, tra giganteschi schermi televisivi e slogan, con una moglie indifferente e un lavoro che svolge per pura e semplice routine. Finché un giorno, dall'incontro con una donna, nasce un sentimento impensabile: dal rogo si alza una Fenice e per Montag, il pompiere, inizia la scoperta di un mondo nuovo.;Fiction / Science Fiction / General
131;Anonymous, |Veronelli, Luigi|Anonimo, ;La Cuoca Di Buenaventura Durruti: La Cucina Spagnola Al Tempo Della «guerra Civile». Ricette E Ricordi;9788887423822;"La cuoca di Durruti è il diario di una giovane donna tra il 1932 e il 1939,gli anni della ""guerra civile"" in Spagna, che segnano una delle più tragiche stagioni del mondo moderno. Ma sono anche gli anni che nutrono le più diffuse speranze di libertà e i più grandi sogni di uguaglianza. A descrivere questo tempo è Nadine, una militante rivoluzionaria della colonna Durruti.Un'osservatrice anomala che riesce sapientemente a intrecciare il racconto delle passioni che animarono i combattenti, i limiti e le illusioni delle loro strategie, i tradimenti di cui furono vittime e la straordinaria esperienza di cui furono protagonisti. Nadine è l'emblema di una generazione che ha scelto di fondere la propria vita con gli ideali in cui ha creduto.";Fiction / General
132;Carnazzi, Stefano|Apuzzo, Stefano|Apuzzo, Stefano Carnazzi Stefano;Quattro Sberle in Padella: Come Difendersi Dall'inquinamento Alimentare;9788872265895;"La terza guerra mondiale è in corso. Si combatte a tavola. Infatti l'alimentazione farcita di veleni è la causa principale dell'insorgenza di malattie, di una crescita sbagliata e della carenza di difese immunitarie. Questo manuale, vero e proprio abbecedario per difendersi dall'inquinamento alimentare, tratta dalla A alla Z tutti i nemici ""velenosi"", quelli banditi,ma anche quelli tollerati dalle stesse leggi dello Stato. Dalle acque minerali alle bevande, dal latte ai formaggi, dai polli alle uova, dagli hamburger ai salumi, per scoprire perchè tante persone si ammalano e quindi per evitarlo.";Social Science / Agriculture & Food
133;Mancini, Paola|Zanoncelli, Anastasia;Ricettario Di Alta Gastronomia Vegetariana;9788863633290;"Il volume raccoglie oltre 150 ricette vegetariane di alta scuola della tradizione e della ""modernità"".";Cooking / Vegetarian & Vegan
134;Sarmede, Pro loco di;Il Quaderno Delle Nostre Grappe;9788886089234;;Cooking / Beverages / Wine & Spirits
135;Pedrotti, Walter|Pedrotti, W.;Il Cucchiaio Verde. La Bibbia Della Cucina Vegetariana;9788844036768;Ritrovare l'armonia tra uomo e natura attraverso il cibo, trasmettere all'organismo la vitalità dei frutti della terra, portare in tavola freschezza e salute sotto forma di piatti fantasiosi ed equilibrati: oltre 700 ricette di cucina vegetariana e naturista suddivise per tipologie, con un ricco corredo di suggerimenti, consigli, notizie pratiche.;Cooking / Vegetarian & Vegan
136;Montanari, Massimo;Il Formaggio Con le Pere. La Storia Di Un Proverbio;9788842087199;"""Al contadino non far sapere quanto è buono il formaggio con le pere"". Il proverbio è notissimo, ma è difficile decifrarlo: come può un ammonimento di saggezza popolare escludere dal sapere il contadino? Qualcosa evidentemente non torna. Lo storico si incuriosisce, si chiede quale origine possa avere un testo del genere, che cosa significhi, a cosa possa servire. Investigando fra ricettari antichi, trattati di agricoltura e di dietetica, opere letterarie e raccolte proverbiali, Massimo Montanari scopre che i palati esigenti e gli stomaci delicati della nobiltà si innamorano del formaggio con le pere sin dal Medioevo. Ma c'è di più. A un certo punto l'abbinamento diventa espressione di un savoir faire socialmente esclusivo. Ciò accade quando l'idea medievale del ""gusto"" come capacità naturale è sopravanzata dall'idea moderna del ""buongusto"" come attitudine culturale. Senza questo snodo decisivo il proverbio sarebbe impensabile. Montanari si avventura - non senza colpi di scena - nei delicati territori di confine tra cultura scritta e cultura orale, rapporti economico-sociali e rappresentazioni mentali. E l'enigma si svela: quell'ambigua sentenza non è il deposito di una saggezza condivisa, ma un luogo di rappresentazione del conflitto sociale e della lotta di classe. Chi l'avrebbe mai detto che tanta parte di storia se ne stesse racchiusa in un proverbio?";
137;Herzog, Hal|Olivero, Giuliana;Amati, Odiati, Mangiati: Perché È Così Difficile Agire Bene Con Gli Animali;9788833922805;"Uno sguardo acuto sul rapporto necessariamente ambiguo e irrazionale che noi umani abbiamo con gli animali. Possiamo considerarli dei teneri cuccioli, veri compagni di una vita, ma possiamo anche detestarli come bestie schifose e repellenti oppure gustarli come prelibati manicaretti, senza farci troppi problemi. La nostra relazione con gli animali è intrinsecamente ambigua e varia moltissimo nelle epoche e nelle culture. C'è poco spazio per un'etica condivisa in questo campo. Che si sia convintamente animalisti, vegetariani intransigenti oppure fautori di un diritto ""naturale"" alla caccia, inevitabilmente finiamo per dare giustificazioni ai nostri comportamenti che non sono mai semplici come vorremmo credere.";
138;Artusi, Pellegrino;La Scienza in Cucina E L'arte Di Mangiar Bene;9788809749771;"Con le sue 790 ricette, raccolte dall'autore con paziente passione nel giro dei lunghi anni e innumerevoli viaggi, l'Artusi è il libro più famoso e letto sulla cucina italiana, quello da cui tutti i grandi cuochi dell'ultimo secolo hanno tratto ispirazioni e suggerimenti. È un'opera singolare che esalta il piacere del mangiar bene; più che un ricettario è un libro di gusto, ricco di dissertazioni, di spunti linguistici in una prosa limpida che ricorda la cordialità del discorso conviviale. Arricchiscono questa elegante versione, tutta da regalare, numerose illustrazioni a colori e in bianco e nero.";Cooking / General
139;Rifkin, Jeremy|Canton, Paolo;Ecocidio: Ascesa E Caduta Della Cultura Della Carne;9788804505716;From the sacred cow to steaks grilling in the backyard, this is the story of the complex, pivotal relationship forged between human beings and cattle over the millennia of Western history. Rifkin links the issues of animal abuse, environmental degradation and public health in this persuasive book. Photographs and line drawings.;Social Science / Agriculture & Food
140;Pavone, A.|Pavone, Antonino;Bacco Divino. Il Vino Nella Storia, Nella Letteratura E Nelle Tradizioni Popolari;9788883641060;;Design / Fashion
141;montaigne, de|de Montaigne, Michel;Dei Cannibali;9788857507231;Osservando i cannibali, non siamo anche noi un po' cannibali ? Questa la provocazione di Montaigne a 500 anni dall'opera. Il commento di 24 pagine di Sergio Benvenuto e' altrettanto interessante e stimolante;Philosophy / History & Surveys / General
142;Manzoni, Alessandro|Olivi, Ferruccio;Storia Della Colonna Infame;9788879831413;"In un tempo, come l'attuale, di dolorosi e talvolta dilaniati assilli giudiziari e processuali, forse nessun testo può risultare all'ordine del giorno meglio di queste scarne e terribili pagine della <em>Storia della colonna infame</em> di Alessandro Manzoni. E' vero che si trattava in quel caso di sventurati innocenti. Argomento, la ricostruzione giuridico-normativa del processo svoltosi nel 1630, durante la peste che fa da tragico fondale dei <em>Promessi sposi</em>, contro due incolpati di ""unzione"". Destinata dapprima a formare un capitolo del romanzo, ne fu poi avulsa e fu pubblicata come appendice all'edizione del capolavoro del 1840.";Literary Collections / Essays
143;Hessel, Stéphane|Balmelli, Maurizia;Indignatevi!;9788896873250;Indignatevi! è un pamphlet liberatorio e corrosivo di Stéphane Hessel, diplomatico francese, ex partigiano, novantatreenne combattivo che ha conquistato con questo testo migliaia di lettori.<br>Dove sono i valori tramandati dalla Resistenza, dove la voglia di giustizia e di uguaglianza, dove la società del progresso per tutti?<br><br>A ricordarci le cose che non vanno sono gli eventi di una quotidianità fatta di ingiustizie e di orrori come le guerre, le violenze, le stragi. Hessel parte da qui, per indicare a tutti quali sono i motivi per cui combattere e per cui tenere alta l’attenzione.<br><br>L’indignazione è il primo passo per un vero risveglio delle coscienze, e il grido di Hessel ce lo ricorda con fermezza e convinzione.;Social Science / General
